subj_ID,exp_name,date,session,training-test,trial,eccentricity,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,51,['15dva'],-502,0,meridianH,0.030000000000000002,oriH,left,right,0,0,left_oriH,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,52,['15dva'],0,502,meridianV,0.039999999999999994,oriV,up,left,0,0,up_oriV,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,53,['15dva'],0,502,meridianV,0.039999999999999994,oriH,up,up,1,1,up_oriH,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,54,['15dva'],502,0,meridianH,0.09,oriH,right,down,0,0,right_oriH,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,55,['15dva'],0,-502,meridianV,0.019999999999999993,oriV,down,right,0,0,down_oriV,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,56,['15dva'],502,0,meridianH,0.12,oriH,right,right,1,1,right_oriH,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,57,['15dva'],0,502,meridianV,0.039999999999999994,oriH,up,up,1,2,up_oriH,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,58,['15dva'],0,502,meridianV,0.019999999999999993,oriH,up,left,0,0,up_oriH,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,59,['15dva'],502,0,meridianH,0.12,oriH,right,right,1,2,right_oriH,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,60,['15dva'],-502,0,meridianH,0.06,oriV,left,left,1,2,left_oriV,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,61,['15dva'],502,0,meridianH,0.36,oriH,right,right,1,3,right_oriH,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,62,['15dva'],502,0,meridianH,0.019999999999999993,oriV,right,right,1,2,right_oriV,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,63,['15dva'],-502,0,meridianH,0.06,oriH,left,left,1,1,left_oriH,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,64,['15dva'],0,502,meridianV,0.04999999999999999,oriH,up,left,0,0,up_oriH,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,65,['15dva'],502,0,meridianH,0.36,oriV,right,right,1,3,right_oriV,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,66,['15dva'],-502,0,meridianH,0.039999999999999994,oriV,left,right,0,0,left_oriV,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,67,['15dva'],0,-502,meridianV,0.09,oriH,down,left,0,0,down_oriH,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,68,['15dva'],0,502,meridianV,0.06999999999999999,oriV,up,up,1,1,up_oriV,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,69,['15dva'],-502,0,meridianH,0.06999999999999999,oriV,left,left,1,1,left_oriV,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,70,['15dva'],0,-502,meridianV,0.12,oriH,down,down,1,1,down_oriH,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,71,['15dva'],0,502,meridianV,0.36,oriV,up,up,1,2,up_oriV,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,72,['15dva'],-502,0,meridianH,0.06,oriH,left,left,1,2,left_oriH,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,73,['15dva'],-502,0,meridianH,0.039999999999999994,oriH,left,left,1,1,left_oriH,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,74,['15dva'],0,-502,meridianV,0.12,oriH,down,down,1,2,down_oriH,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,75,['15dva'],-502,0,meridianH,0.36,oriH,left,left,1,2,left_oriH,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,76,['15dva'],0,-502,meridianV,0.36,oriH,down,down,1,3,down_oriH,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,77,['15dva'],0,-502,meridianV,0.04999999999999999,oriV,down,up,0,0,down_oriV,9,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,78,['15dva'],0,-502,meridianV,0.36,oriV,down,down,1,1,down_oriV,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,79,['15dva'],0,502,meridianV,0.36,oriH,up,up,1,1,up_oriH,10,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,80,['15dva'],-502,0,meridianH,0.36,oriV,left,left,1,2,left_oriV,10,highCont
